fileName,sigma_with_light,FWHM_with_light,sigma_without_light,FWHM_without_light,counts,sensitivity
geom_A_10_05.hsb,0.8800259,2.072461,0.8299896,1.954625,9894,0.0009894
geom_A_10_10.hsb,0.9856122,2.321117,0.9339544,2.199463,9238,0.0009238
geom_A_10_15.hsb,1.079719,2.542739,1.037821,2.444069,9169,0.0009169
geom_A_2_10.hsb,1.050564,2.474078,1.046975,2.465626,4198,0.0004198
geom_A_2_15.hsb,1.162711,2.738184,1.161013,2.734185,4018,0.0004018
geom_A_2_5.hsb,1.00077,2.356813,1.000361,2.355851,4722,0.0004722
geom_B_10_05.hsb,0.7408385,1.744675,0.6760014,1.591983,5860,0.000586
geom_B_10_10.hsb,0.8554173,2.014508,0.7939056,1.869648,5588,0.0005588
geom_B_10_15.hsb,0.9412988,2.216759,0.9057468,2.133034,5540,0.000554
geom_B_2_05.hsb,0.868905,2.046271,0.8676722,2.043368,2768,0.0002768
geom_B_2_10.hsb,0.9536776,2.245911,0.9525186,2.243181,2580,0.000258
geom_B_2_15.hsb,0.9984883,2.35144,0.9965575,2.346893,2419,0.0002419
geom_C_10_05.hsb,0.7736459,1.821936,0.6911913,1.627755,2932,0.0002932
geom_C_10_10.hsb,0.7256027,1.708794,0.6683604,1.573989,2813,0.0002813
geom_C_10_15.hsb,0.8109933,1.909889,0.7605978,1.791208,2796,0.0002796
geom_C_2_05.hsb,0.8324474,1.960413,0.8302312,1.955195,1357,0.0001357
geom_C_2_10.hsb,0.8436535,1.986804,0.8429013,1.985033,1250,0.000125
geom_C_2_15.hsb,0.7975516,1.878234,0.7951181,1.872503,1223,0.0001223
